episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.5263309478759766,38,39
1,1,3,0.11635881662368774,500,24
2,5,7,0.5295050144195557,24,23
3,4,1,0.5041759610176086,21,21
4,4,6,0.456066757440567,500,36
5,1,8,0.572260320186615,6,7
6,4,5,0.1819913387298584,500,19
7,1,8,0.5951650142669678,13,13
8,2,5,0.5918357968330383,5,6
9,0,7,0.18550404906272888,500,7
10,2,3,0.5076995491981506,15,16
11,0,5,0.32346031069755554,500,6
12,6,3,0.48323574662208557,500,14
13,6,3,0.11635881662368774,500,4
14,1,3,0.11635881662368774,500,2
15,4,3,0.5241243839263916,13,14
16,3,3,0.11635881662368774,500,3
17,8,4,0.5109230279922485,20,16
18,1,3,0.11635881662368774,500,5
19,5,3,0.11635881662368774,500,11
20,5,3,0.11635881662368774,500,12
21,9,3,0.11635881662368774,500,12
22,5,3,0.11635881662368774,500,3
23,1,5,0.593157172203064,20,21
24,2,3,0.13371963798999786,500,21
25,1,3,0.16167418658733368,500,5
26,5,3,0.11635881662368774,500,3
27,0,5,0.7056284546852112,10,10
28,9,3,0.11635881662368774,500,11
29,2,7,0.25057685375213623,500,27
30,9,3,0.11635881662368774,500,10
31,3,3,0.12550261616706848,500,12
32,0,5,0.16907304525375366,500,13
33,4,3,0.11635881662368774,500,17
34,8,3,0.7368754148483276,28,27
35,5,7,0.5536277890205383,15,13
36,2,3,0.38040441274642944,500,23
37,8,5,0.18265847861766815,500,11
38,3,3,0.5776032209396362,19,19
39,4,6,0.2341698855161667,500,11
40,2,5,0.5037404298782349,5,6
41,7,3,0.11635881662368774,500,1
42,1,3,0.11635881662368774,500,22
43,8,3,0.11635881662368774,500,5
44,2,3,0.11635881662368774,500,9
45,1,3,0.2270210087299347,500,20
46,1,3,0.11635881662368774,500,9
47,0,3,0.11635881662368774,500,5
48,2,3,0.47041359543800354,500,27
49,0,7,0.3142111003398895,500,61
50,1,3,0.11635881662368774,500,9
51,2,3,0.11635881662368774,500,12
52,0,3,0.11635881662368774,500,10
53,3,3,0.5535781383514404,16,14
54,6,5,0.21515454351902008,500,22
55,5,3,0.11635881662368774,500,7
56,2,7,0.5337293744087219,21,20
57,2,5,0.2289675772190094,500,7
58,1,3,0.11635881662368774,500,3
59,7,4,0.47656795382499695,500,14
60,0,5,0.1887781322002411,500,15
61,7,7,0.6174214482307434,4,5
62,9,3,0.11635881662368774,500,4
63,6,3,0.11635881662368774,500,5
64,9,4,0.5973372459411621,8,9
65,7,7,0.5491198897361755,23,23
66,3,3,0.5200726389884949,33,30
67,3,3,0.6110739707946777,5,4
68,9,3,0.11635881662368774,500,8
69,5,3,0.11635881662368774,500,8
70,9,7,0.33430492877960205,500,19
71,6,3,0.5704305768013,29,25
72,4,2,0.1915474534034729,500,4
73,9,3,0.11635881662368774,500,3
74,5,3,0.4007146954536438,500,17
75,2,3,0.11635881662368774,500,4
76,2,1,0.292012095451355,500,50
77,1,3,0.11635881662368774,500,2
78,4,7,0.5122972726821899,9,8
79,6,1,0.15186871588230133,500,9
80,2,5,0.2754363417625427,500,8
81,4,3,0.5744422674179077,9,8
82,5,3,0.11635881662368774,500,4
83,5,7,0.4133067727088928,500,31
84,7,3,0.11635881662368774,500,5
85,8,3,0.11635881662368774,500,9
86,0,7,0.5435190796852112,13,11
87,7,3,0.11635881662368774,500,6
88,5,3,0.11635881662368774,500,7
89,3,4,0.42446088790893555,500,10
90,2,5,0.37890738248825073,500,8
91,7,5,0.2298586517572403,500,30
92,4,2,0.20369167625904083,500,13
93,6,3,0.34337422251701355,500,22
94,3,3,0.5203017592430115,11,12
95,1,3,0.11635881662368774,500,10
96,1,7,0.30806949734687805,500,23
97,4,3,0.11635881662368774,500,11
98,2,1,0.547733724117279,28,27
99,9,3,0.11635881662368774,500,13
