episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.5736277103424072,50,42
1,1,1,0.523760974407196,85,52
2,5,4,0.5222364068031311,8,8
3,4,1,0.5041759610176086,21,21
4,4,6,0.516038715839386,92,51
5,1,8,0.5331423878669739,9,10
6,4,3,0.5207202434539795,86,47
7,1,1,0.6707947254180908,23,22
8,2,5,0.5918357968330383,7,6
9,0,7,0.5104051828384399,26,15
10,2,3,0.5083532333374023,20,16
11,0,5,0.5164614319801331,10,7
12,6,3,0.5228114724159241,29,25
13,6,2,0.6396893262863159,68,27
14,1,1,0.5034169554710388,19,18
15,4,3,0.5476056933403015,24,19
16,3,3,0.5498229265213013,108,47
17,8,5,0.6095225214958191,8,9
18,1,4,0.5227423906326294,85,32
19,5,5,0.6241814494132996,55,46
20,5,3,0.5127354860305786,30,22
21,9,5,0.6555497050285339,52,42
22,5,5,0.7326831817626953,9,10
23,1,5,0.593157172203064,28,23
24,2,3,0.5211734771728516,108,62
25,1,1,0.6356822848320007,93,51
26,5,7,0.5010185241699219,239,111
27,0,5,0.5753450393676758,13,14
28,9,3,0.6323041915893555,28,20
29,2,7,0.5147890448570251,140,48
30,9,5,0.5023053884506226,32,22
31,3,3,0.6876083016395569,14,15
32,0,5,0.521489679813385,4,5
33,4,7,0.5851247310638428,113,55
34,8,3,0.7341793179512024,26,27
35,5,7,0.5536277890205383,13,12
36,2,5,0.6072568893432617,48,17
37,8,2,0.7346067428588867,17,15
38,3,3,0.584782063961029,21,20
39,4,3,0.5284134149551392,29,28
40,2,5,0.5037404298782349,5,6
41,7,7,0.6051303744316101,35,32
42,1,2,0.5964607000350952,54,38
43,8,3,0.5132312178611755,41,33
44,2,5,0.5759387612342834,31,20
45,1,3,0.5057353973388672,92,63
46,1,1,0.5347413420677185,38,23
47,0,5,0.5664249062538147,41,19
48,2,3,0.532419741153717,95,26
49,0,5,0.5564348697662354,134,81
50,1,3,0.6905645132064819,100,57
51,2,2,0.6088628768920898,49,29
52,0,2,0.31070664525032043,500,189
53,3,3,0.5209894776344299,18,17
54,6,7,0.6012272238731384,297,93
55,5,5,0.5892042517662048,85,66
56,2,7,0.5907204747200012,48,21
57,2,6,0.5418354868888855,174,95
58,1,3,0.5021516680717468,85,36
59,7,4,0.6393532156944275,28,24
60,0,7,0.5133776664733887,22,18
61,7,7,0.5789217352867126,5,5
62,9,7,0.5252320766448975,62,41
63,6,5,0.519929051399231,16,13
64,9,4,0.5118880867958069,6,7
65,7,4,0.5368912220001221,38,22
66,3,3,0.627839207649231,31,24
67,3,1,0.5045020580291748,8,6
68,9,7,0.5381330251693726,59,48
69,5,3,0.6094131469726562,23,20
70,9,9,0.6098902225494385,71,43
71,6,3,0.5336095690727234,37,26
72,4,2,0.5635513663291931,50,14
73,9,3,0.5733811855316162,33,25
74,5,1,0.5207390189170837,40,25
75,2,5,0.6422475576400757,51,39
76,2,3,0.6834308505058289,41,39
77,1,3,0.5610807538032532,29,23
78,4,7,0.5172247290611267,12,13
79,6,3,0.5160583257675171,46,26
80,2,2,0.6401270627975464,31,15
81,4,3,0.5744422674179077,9,8
82,5,3,0.6819145679473877,52,30
83,5,3,0.6711093783378601,26,23
84,7,7,0.5830073952674866,129,71
85,8,2,0.5479327440261841,102,30
86,0,7,0.5133600831031799,12,9
87,7,4,0.5342618823051453,137,83
88,5,9,0.5709426999092102,72,39
89,3,4,0.5845060348510742,10,10
90,2,2,0.4351454973220825,500,172
91,7,7,0.5029786825180054,36,33
92,4,3,0.5460363030433655,54,45
93,6,3,0.5943980813026428,55,41
94,3,3,0.5203017592430115,15,12
95,1,5,0.7114971876144409,29,27
96,1,1,0.5224248170852661,32,29
97,4,1,0.533582866191864,43,35
98,2,3,0.5511316657066345,44,35
99,9,3,0.5604692697525024,52,37
