episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.8594513535499573,254,86
1,1,3,0.11635881662368774,500,120
2,7,3,0.1168016716837883,500,117
3,2,1,0.43417444825172424,500,157
4,2,7,0.23069268465042114,500,158
5,9,7,0.45086750388145447,500,158
6,1,1,0.3873622417449951,500,168
7,2,2,0.8333463072776794,382,149
8,2,2,0.8884567022323608,449,127
9,0,0,0.4987230896949768,500,216
10,4,5,0.49055176973342896,500,135
11,4,7,0.8346455693244934,477,172
12,9,2,0.5455624461174011,500,164
13,2,7,0.3101675808429718,500,115
14,0,4,0.4057999849319458,500,117
15,3,1,0.3346184194087982,500,160
16,6,4,0.3350461423397064,500,211
17,1,8,0.4287135899066925,500,159
18,0,4,0.7293910384178162,500,136
19,5,5,0.9297599196434021,231,91
20,5,9,0.5062658190727234,500,166
21,4,7,0.803909420967102,388,129
22,3,3,0.8352503180503845,122,46
23,6,6,0.3278888165950775,500,159
24,5,5,0.7459657192230225,500,178
25,6,5,0.3547029495239258,500,141
26,6,6,0.4483832120895386,500,164
27,7,7,0.16314208507537842,500,153
28,9,7,0.13045263290405273,500,106
29,2,2,0.5427048206329346,500,137
30,6,3,0.11635881662368774,500,94
31,8,3,0.43031278252601624,500,163
32,4,3,0.11092457175254822,500,135
33,5,3,0.19019471108913422,500,100
34,0,4,0.606780469417572,500,163
35,5,5,0.6487180590629578,500,181
36,6,9,0.8387801051139832,170,71
37,6,7,0.5020896792411804,500,122
38,4,1,0.9157528877258301,101,60
39,0,5,0.4129771292209625,500,182
40,2,2,0.7555843591690063,500,132
41,2,5,0.3874604105949402,500,109
42,6,6,0.8172824382781982,415,163
43,6,3,0.14632704854011536,500,112
44,8,3,0.29956433176994324,500,184
45,9,9,0.8411290049552917,281,117
46,5,5,0.4691426753997803,500,151
47,9,4,0.8752363324165344,390,131
48,1,1,0.7716741561889648,500,137
49,9,2,0.3019792437553406,500,150
50,0,9,0.39428427815437317,500,156
51,3,7,0.6059849858283997,500,186
52,2,3,0.45138299465179443,500,134
53,1,5,0.37645474076271057,500,210
54,2,4,0.81952303647995,132,54
55,9,7,0.8145555853843689,293,127
56,8,2,0.8261770009994507,21,17
57,7,1,0.8702148795127869,304,101
58,5,3,0.5284542441368103,500,169
59,7,3,0.23928719758987427,500,156
60,9,4,0.5084066987037659,500,115
61,8,8,0.8057873249053955,348,135
62,8,5,0.4537474513053894,500,114
63,5,5,0.8021749258041382,63,31
64,8,3,0.11635881662368774,500,129
65,0,4,0.6923074722290039,500,106
66,2,1,0.8142867684364319,372,133
67,3,3,0.8395328521728516,456,148
68,6,5,0.22222696244716644,500,198
69,8,9,0.8129891157150269,480,181
70,3,8,0.6151791214942932,500,136
71,6,3,0.3314267694950104,500,184
72,2,1,0.8554813265800476,76,34
73,5,5,0.30408212542533875,500,169
74,2,5,0.8336235880851746,461,161
75,2,2,0.8263059854507446,458,152
76,7,5,0.8254560828208923,219,83
77,4,4,0.806696891784668,168,64
78,3,3,0.6376327276229858,500,178
79,8,2,0.8318163156509399,477,126
80,2,2,0.6029394865036011,500,183
81,4,2,0.20210202038288116,500,117
82,2,2,0.865876317024231,312,126
83,9,7,0.428297221660614,500,174
84,7,2,0.48914724588394165,500,147
85,0,0,0.19192512333393097,500,100
86,7,7,0.7134570479393005,500,103
87,0,0,0.8429165482521057,411,139
88,5,5,0.35147348046302795,500,142
89,4,4,0.9351510405540466,274,114
90,5,5,0.8543707132339478,46,27
91,2,1,0.11374083906412125,500,115
92,8,3,0.5192756056785583,500,203
93,6,2,0.34456899762153625,500,178
94,7,7,0.37022626399993896,500,197
95,4,7,0.4556596875190735,500,118
96,4,1,0.14929045736789703,500,192
97,7,7,0.8502187728881836,150,62
98,4,4,0.4878879487514496,500,146
99,1,4,0.520543098449707,500,177
100,1,5,0.5587539076805115,500,156
101,9,3,0.42555010318756104,500,225
102,3,5,0.6189962029457092,500,176
103,7,7,0.4135211110115051,500,184
104,5,5,0.9186352491378784,135,45
105,2,2,0.8034214973449707,161,77
106,0,2,0.8549221158027649,214,109
107,3,5,0.7167037725448608,500,175
108,9,4,0.25536417961120605,500,143
109,4,3,0.11635881662368774,500,96
110,1,7,0.2517337501049042,500,131
111,3,3,0.879123866558075,328,135
112,8,8,0.808646559715271,492,171
113,4,5,0.3401472866535187,500,165
114,1,1,0.6579350233078003,500,171
115,5,3,0.11635881662368774,500,88
116,4,4,0.6423131227493286,500,156
117,4,4,0.6679838299751282,500,205
118,9,7,0.35054126381874084,500,135
119,0,5,0.35521721839904785,500,146
120,1,1,0.8797647356987,452,153
121,4,4,0.8976753950119019,455,153
122,9,7,0.8181152939796448,123,75
123,0,0,0.801605761051178,219,103
124,4,6,0.8104374408721924,474,157
125,8,5,0.2162942886352539,500,207
126,3,7,0.8216001987457275,343,122
127,7,7,0.5246104001998901,500,152
128,0,0,0.8064668774604797,300,131
129,3,3,0.8171987533569336,92,54
130,4,1,0.18513406813144684,500,169
131,9,7,0.3896030783653259,500,108
132,5,5,0.8078149557113647,36,20
133,9,6,0.507036566734314,500,115
134,7,7,0.6439313888549805,500,210
135,4,4,0.9052368402481079,223,111
136,2,2,0.5178913474082947,500,177
137,2,2,0.3240513205528259,500,157
138,3,3,0.8335120677947998,351,124
139,3,7,0.61650151014328,500,143
140,3,2,0.29430150985717773,500,95
141,5,5,0.8379060626029968,114,40
142,5,3,0.7770078182220459,500,206
143,1,1,0.8186611533164978,343,111
144,7,9,0.49447405338287354,500,169
145,8,5,0.5195275545120239,500,195
146,9,4,0.33999502658843994,500,176
147,9,9,0.8351995944976807,334,148
148,5,5,0.8844346404075623,21,15
149,2,4,0.6380518674850464,500,143
150,5,9,0.892078161239624,227,99
151,8,2,0.29496753215789795,500,140
152,9,3,0.4842231869697571,500,182
153,2,5,0.5701293349266052,500,165
154,2,1,0.8112305402755737,38,22
155,4,5,0.4000384509563446,500,117
156,0,5,0.7038106918334961,500,206
157,2,2,0.8175394535064697,427,149
158,5,5,0.7380013465881348,500,146
159,0,4,0.43480464816093445,500,136
160,2,7,0.8161561489105225,397,180
161,4,7,0.21746152639389038,500,135
162,6,6,0.7904499769210815,500,202
163,4,2,0.2442595660686493,500,120
164,9,7,0.885951042175293,443,179
165,3,5,0.415105938911438,500,138
166,0,5,0.5427868962287903,500,116
167,9,5,0.32614511251449585,500,160
168,2,2,0.8135808110237122,222,72
169,4,2,0.21159443259239197,500,139
170,3,4,0.6194410920143127,500,169
171,6,6,0.8191941380500793,158,71
172,6,2,0.41662898659706116,500,144
173,6,8,0.5067188143730164,500,187
174,1,5,0.37137746810913086,500,118
175,4,4,0.8122057318687439,430,90
176,0,8,0.39506474137306213,500,116
177,6,4,0.8501901626586914,363,159
178,9,6,0.27722254395484924,500,134
179,6,0,0.6092519164085388,500,179
180,7,7,0.42949095368385315,500,122
181,4,7,0.2707160413265228,500,169
182,5,8,0.3504703938961029,500,150
183,1,1,0.8102272748947144,279,107
184,1,1,0.48112761974334717,500,162
185,2,1,0.36542055010795593,500,166
186,5,3,0.6182233095169067,500,149
187,9,3,0.753860354423523,500,152
188,4,1,0.44524186849594116,500,174
189,3,3,0.8422734141349792,377,154
190,7,7,0.15613868832588196,500,142
191,2,2,0.9008588194847107,315,125
192,4,4,0.8144682049751282,268,109
193,3,3,0.6007376313209534,500,149
194,6,2,0.5767351388931274,500,185
195,2,6,0.4181152284145355,500,172
196,0,4,0.6412851214408875,500,161
197,3,3,0.7440131902694702,500,162
198,6,7,0.4148062765598297,500,186
199,8,9,0.8705994486808777,265,81
200,6,2,0.6997397541999817,500,137
201,1,1,0.8961244225502014,402,133
202,3,3,0.8355652689933777,181,83
203,6,7,0.38825270533561707,500,132
204,8,2,0.7937681674957275,500,147
205,9,4,0.4337390065193176,500,135
206,2,3,0.868258535861969,76,33
207,0,3,0.2984241247177124,500,155
208,2,2,0.42574480175971985,500,195
209,7,7,0.7143540382385254,500,154
210,2,7,0.29347965121269226,500,124
211,0,0,0.8268600106239319,494,154
212,2,2,0.8016710877418518,312,140
213,5,3,0.4118852913379669,500,203
214,2,5,0.6743478178977966,500,182
215,5,5,0.5778073072433472,500,146
216,3,4,0.4357515275478363,500,134
217,1,3,0.11635881662368774,500,121
218,5,3,0.5938429236412048,500,194
219,1,3,0.11635881662368774,500,114
220,3,0,0.1992022544145584,500,186
221,5,5,0.17570701241493225,500,97
222,2,6,0.7503560781478882,500,200
223,8,9,0.2956793010234833,500,160
224,5,5,0.8105289936065674,68,36
225,7,5,0.8479489684104919,10,8
226,8,3,0.3022356331348419,500,86
227,8,4,0.5649094581604004,500,145
228,5,9,0.3679998219013214,500,141
229,9,5,0.7077474594116211,500,199
230,9,1,0.43855202198028564,500,143
231,6,6,0.7256518006324768,500,162
232,4,4,0.8648297190666199,60,20
233,1,1,0.45379748940467834,500,159
234,3,2,0.4110669195652008,500,138
235,9,7,0.8037798404693604,346,133
236,9,9,0.8419744968414307,393,119
237,3,7,0.37986302375793457,500,180
238,7,5,0.6269510984420776,500,213
239,3,2,0.15886251628398895,500,106
240,6,3,0.3542274832725525,500,198
241,6,4,0.5517893433570862,500,132
242,4,5,0.5026620626449585,500,181
243,4,3,0.24973438680171967,500,130
244,0,4,0.5865959525108337,500,187
245,6,7,0.2566899061203003,500,114
246,5,5,0.8796426057815552,214,71
247,2,7,0.42106911540031433,500,141
248,2,3,0.2522962987422943,500,144
249,6,4,0.4410136938095093,500,180
250,6,6,0.8368371725082397,138,84
251,2,2,0.8759737014770508,250,108
252,6,6,0.40621182322502136,500,177
253,8,3,0.11635881662368774,500,84
254,2,2,0.46108850836753845,500,213
255,1,1,0.6530523896217346,500,128
256,8,3,0.11635881662368774,500,147
257,7,3,0.11635881662368774,500,111
258,6,3,0.3931005895137787,500,218
259,5,3,0.8468120098114014,116,63
260,4,7,0.2906055450439453,500,181
261,3,5,0.6567972302436829,500,154
262,9,7,0.38199135661125183,500,153
