episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.943120002746582,111,58
1,1,1,0.2780556082725525,500,190
2,5,7,0.3510381281375885,500,119
3,4,4,0.5452871322631836,500,184
4,4,3,0.42060017585754395,500,167
5,1,8,0.3516576886177063,500,166
6,4,5,0.23357412219047546,500,149
7,1,5,0.2902493476867676,500,120
8,2,5,0.6701814532279968,500,150
9,0,2,0.3184923231601715,500,178
10,2,2,0.9008619785308838,54,29
11,0,0,0.9147228598594666,441,147
12,6,6,0.9095661044120789,101,44
13,6,3,0.11635881662368774,500,99
14,1,3,0.11635881662368774,500,133
15,4,4,0.9321275353431702,350,135
16,3,3,0.9088115692138672,315,125
17,8,3,0.7610858082771301,500,152
18,1,1,0.9427294135093689,278,84
19,5,9,0.3970784842967987,500,132
20,5,5,0.9135739803314209,162,71
21,9,3,0.1147858053445816,500,139
22,5,5,0.8123946189880371,500,162
23,1,5,0.27200809121131897,500,109
24,2,6,0.43960797786712646,500,167
25,1,1,0.4885096848011017,500,140
26,5,5,0.2891351878643036,500,199
27,0,0,0.9387062191963196,328,117
28,9,3,0.5131502151489258,500,188
29,2,6,0.6540688276290894,500,142
30,9,3,0.37400364875793457,500,149
31,3,3,0.9399211406707764,165,75
32,0,0,0.9108038544654846,334,133
33,4,4,0.5444308519363403,500,150
34,8,9,0.9744091033935547,390,136
35,5,3,0.48036399483680725,500,192
36,2,2,0.900165319442749,280,115
37,8,8,0.5011475086212158,500,170
38,3,3,0.2683510482311249,500,166
39,4,5,0.5584425330162048,500,192
40,2,2,0.9030980467796326,114,44
41,7,7,0.9543570876121521,329,149
42,1,1,0.28794586658477783,500,165
43,8,7,0.4071332514286041,500,140
44,2,8,0.2802184820175171,500,156
45,1,3,0.7645853757858276,500,168
46,1,1,0.9045405983924866,377,125
47,0,5,0.9050472974777222,138,49
48,2,4,0.16939622163772583,500,96
49,0,2,0.22566862404346466,500,75
50,1,3,0.11635881662368774,500,122
51,2,3,0.11635881662368774,500,65
52,0,5,0.4047989547252655,500,207
53,3,3,0.7415578961372375,500,172
54,6,4,0.8788999915122986,500,175
55,5,5,0.7630028128623962,500,168
56,2,2,0.5804414749145508,500,163
57,2,0,0.1781732589006424,500,164
58,1,3,0.11635881662368774,500,128
59,7,5,0.2631993591785431,500,128
60,0,9,0.32725751399993896,500,160
61,7,7,0.9370322823524475,347,151
62,9,7,0.17552396655082703,500,121
63,6,7,0.22348478436470032,500,159
64,9,9,0.9296317100524902,98,51
65,7,7,0.8399104475975037,500,134
66,3,0,0.28915366530418396,500,153
67,3,3,0.9133037328720093,118,51
68,9,9,0.5388872623443604,500,118
69,5,5,0.4502643644809723,500,161
70,9,9,0.9153556227684021,327,96
71,6,5,0.24079640209674835,500,211
72,4,4,0.6788920164108276,500,163
73,9,4,0.910435676574707,414,164
74,5,7,0.8900062441825867,500,210
75,2,2,0.9095778465270996,496,199
76,2,2,0.6753982901573181,500,124
77,1,3,0.11547394841909409,500,175
78,4,5,0.2480829358100891,500,182
79,6,3,0.11391011625528336,500,116
80,2,8,0.35586312413215637,500,186
81,4,7,0.42948946356773376,500,201
82,5,5,0.9425245523452759,187,61
83,5,5,0.8157641291618347,500,179
84,7,7,0.11672601848840714,500,81
85,8,2,0.6057659387588501,500,169
86,0,0,0.9133048057556152,394,122
87,7,7,0.9094386100769043,219,100
88,5,5,0.23700392246246338,500,102
89,3,7,0.6691607236862183,500,160
90,2,2,0.8308551907539368,500,153
91,7,1,0.9559040665626526,362,127
92,4,4,0.6659033894538879,500,191
93,6,3,0.11623061448335648,500,101
94,3,7,0.37017107009887695,500,162
95,1,3,0.6274542808532715,500,172
96,1,1,0.8128778338432312,500,136
97,4,3,0.11635881662368774,500,117
98,2,1,0.20491760969161987,500,164
99,9,4,0.9420862197875977,274,97
