episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.637836754322052,500,277
1,6,6,0.9073322415351868,405,314
2,9,4,0.9096230268478394,223,196
3,7,7,0.9089266657829285,62,63
4,2,3,0.9303211569786072,46,44
5,2,4,0.28125086426734924,500,373
6,8,3,0.17391948401927948,500,273
7,0,0,0.4717924892902374,500,364
8,5,5,0.9145598411560059,369,324
9,7,7,0.9412330985069275,225,203
10,2,2,0.8140387535095215,500,308
11,6,5,0.5027404427528381,500,333
12,5,5,0.9121023416519165,213,203
13,6,2,0.9012152552604675,262,217
14,3,3,0.9030017256736755,287,250
15,9,4,0.9019556641578674,446,285
16,0,0,0.733178973197937,500,265
17,3,3,0.11635881662368774,500,217
18,9,9,0.3148445785045624,500,316
19,0,0,0.9285470247268677,117,115
20,7,7,0.6363396048545837,500,359
21,6,6,0.3898918032646179,500,260
22,7,7,0.9287017583847046,211,167
23,5,5,0.9128862023353577,381,331
24,0,9,0.9563131928443909,67,66
25,3,3,0.9282612800598145,148,123
26,1,3,0.23991884291172028,500,312
27,0,5,0.9090210199356079,229,212
28,4,4,0.7254905700683594,500,233
29,8,8,0.9004088044166565,361,298
30,9,9,0.9159116744995117,320,207
31,0,0,0.9111593961715698,149,112
32,3,7,0.588420033454895,500,406
33,6,6,0.7523471117019653,500,364
34,4,4,0.4051779508590698,500,221
35,3,8,0.24543246626853943,500,263
36,7,7,0.916293740272522,381,300
37,6,0,0.7894197702407837,500,255
38,8,9,0.36561042070388794,500,241
39,4,4,0.9007003903388977,428,300
40,8,3,0.5979151725769043,500,383
41,2,8,0.15440857410430908,500,316
42,3,7,0.3787975311279297,500,265
43,7,9,0.3768496811389923,500,270
44,5,5,0.712141215801239,500,265
45,9,5,0.7954950928688049,500,430
46,6,5,0.3667670488357544,500,199
47,0,0,0.5792787671089172,500,269
48,4,4,0.8863953351974487,500,231
49,7,7,0.9143205881118774,449,414
50,6,5,0.9034664034843445,42,43
51,5,4,0.9199579358100891,381,255
52,4,4,0.9026966094970703,293,236
53,9,6,0.7430694103240967,500,377
54,0,4,0.9128720760345459,278,241
55,1,1,0.5851456522941589,500,300
56,8,8,0.9587336778640747,357,326
57,0,0,0.9542234539985657,149,146
58,8,5,0.4238629937171936,500,316
59,9,9,0.7441364526748657,500,434
60,2,1,0.3810340464115143,500,265
61,1,1,0.9312766194343567,219,186
62,7,7,0.9287478923797607,152,134
63,7,7,0.9152258038520813,498,243
64,0,0,0.9303784966468811,110,101
65,4,4,0.5811213850975037,500,297
66,0,0,0.902222752571106,402,369
67,1,8,0.21772624552249908,500,287
68,1,3,0.8866826891899109,500,246
69,2,2,0.9075844287872314,157,151
70,3,3,0.91199791431427,119,107
71,1,7,0.3616733253002167,500,310
72,3,3,0.8088022470474243,500,272
73,2,2,0.9173404574394226,280,181
74,8,8,0.24023501574993134,500,203
75,6,8,0.6881820559501648,500,402
76,6,6,0.592771053314209,500,356
77,1,1,0.9047632813453674,497,335
78,9,9,0.6183332800865173,500,271
79,8,2,0.26541370153427124,500,277
80,6,6,0.9140517711639404,443,330
81,4,4,0.9098860621452332,54,55
82,8,8,0.922170102596283,477,265
83,6,6,0.8059924244880676,500,357
84,3,3,0.9271501302719116,276,239
85,1,1,0.7027060389518738,500,381
86,5,3,0.38989996910095215,500,315
87,0,8,0.3946027457714081,500,226
88,1,1,0.9111723303794861,488,380
89,7,7,0.9000903367996216,437,343
90,1,3,0.11758635938167572,500,270
91,5,3,0.9018167853355408,66,64
92,4,4,0.7743170857429504,500,348
93,9,7,0.31493711471557617,500,249
94,4,4,0.9020269513130188,199,177
95,6,6,0.9060570597648621,444,305
96,0,3,0.49730655550956726,500,208
97,3,5,0.8311926126480103,500,196
98,1,8,0.4075632691383362,500,225
99,3,5,0.8015053868293762,500,380
