episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,2,0.7431674003601074,55,39
1,1,8,0.19113968312740326,500,155
2,5,5,0.5781286358833313,500,180
3,4,3,0.1516132354736328,500,146
4,4,3,0.11635881662368774,500,78
5,1,8,0.6726572513580322,500,171
6,4,3,0.11635881662368774,500,124
7,1,5,0.38870713114738464,500,96
8,2,7,0.33967214822769165,500,126
9,0,0,0.7257987856864929,161,63
10,2,3,0.7273070216178894,93,41
11,0,0,0.7535296678543091,416,125
12,6,6,0.26413118839263916,500,101
13,6,3,0.11635881662368774,500,83
14,1,3,0.5071462392807007,500,189
15,4,4,0.27517199516296387,500,144
16,3,3,0.11635881662368774,500,78
17,8,4,0.7098751068115234,274,90
18,1,3,0.11635881662368774,500,99
19,5,5,0.1944633573293686,500,75
20,5,3,0.727093517780304,324,123
21,9,3,0.11635881662368774,500,120
22,5,5,0.7270870804786682,106,53
23,1,3,0.11635881662368774,500,135
24,2,2,0.40007534623146057,500,169
25,1,7,0.20203706622123718,500,147
26,5,3,0.11635881662368774,500,49
27,0,5,0.690775990486145,500,160
28,9,7,0.1642167568206787,500,180
29,2,2,0.7124649882316589,449,158
30,9,5,0.7187989354133606,68,34
31,3,5,0.35583099722862244,500,125
32,0,5,0.5748526453971863,500,105
33,4,3,0.11635881662368774,500,85
34,8,2,0.48734742403030396,500,144
35,5,3,0.5117685794830322,500,143
36,2,3,0.31845393776893616,500,132
37,8,3,0.11635881662368774,500,88
38,3,3,0.7175427079200745,470,136
39,4,7,0.32227760553359985,500,135
40,2,2,0.4502883851528168,500,97
41,7,3,0.11635881662368774,500,136
42,1,3,0.15779362618923187,500,172
43,8,3,0.11635881662368774,500,87
44,2,5,0.591946005821228,500,146
45,1,5,0.2555670440196991,500,101
46,1,3,0.1972152441740036,500,179
47,0,4,0.31920909881591797,500,177
48,2,6,0.40186607837677,500,149
49,0,0,0.6166108250617981,500,175
50,1,3,0.11635881662368774,500,109
51,2,3,0.11635881662368774,500,68
52,0,7,0.2533104717731476,500,112
53,3,5,0.33864328265190125,500,141
54,6,4,0.1957072615623474,500,91
55,5,7,0.25466006994247437,500,148
56,2,7,0.20167864859104156,500,117
57,2,5,0.741012692451477,30,15
58,1,3,0.11635881662368774,500,174
59,7,7,0.29767343401908875,500,146
60,0,3,0.32284677028656006,500,158
61,7,7,0.7680832147598267,218,81
62,9,3,0.11635881662368774,500,39
63,6,3,0.11635881662368774,500,67
64,9,9,0.7516223788261414,207,74
65,7,7,0.6549938917160034,500,204
66,3,3,0.271465539932251,500,98
67,3,3,0.8403109908103943,80,37
68,9,3,0.11635881662368774,500,110
69,5,5,0.5940276980400085,500,152
70,9,9,0.3189623951911926,500,154
71,6,6,0.24152715504169464,500,82
72,4,1,0.2710312604904175,500,110
73,9,7,0.7468569874763489,169,80
74,5,9,0.45261117815971375,500,128
75,2,5,0.4198226034641266,500,107
76,2,6,0.39034825563430786,500,161
77,1,1,0.8243170976638794,351,139
78,4,7,0.25745856761932373,500,115
79,6,6,0.5960590839385986,500,151
80,2,5,0.1680331528186798,500,112
81,4,4,0.421930730342865,500,155
82,5,5,0.761967122554779,42,26
83,5,5,0.5380973219871521,500,115
84,7,3,0.11635881662368774,500,79
85,8,2,0.24383282661437988,500,127
86,0,2,0.15786240994930267,500,74
87,7,3,0.11635881662368774,500,38
88,5,3,0.11635881662368774,500,96
89,3,4,0.7201165556907654,55,40
90,2,5,0.30007973313331604,500,152
91,7,3,0.11635881662368774,500,93
92,4,7,0.19590315222740173,500,94
93,6,2,0.25872093439102173,500,170
94,3,2,0.5079877376556396,500,135
95,1,5,0.12608160078525543,500,132
96,1,3,0.11635881662368774,500,134
97,4,4,0.7276098132133484,232,93
98,2,2,0.45607632398605347,500,128
99,9,3,0.11635881662368774,500,163
